"","weight"
"1",1.61300464980133
"2",1.79745069479861
"3",3.9698928196648
"4",0.436050226710139
"5",1.28102654159963
"6",1.75006314214978
"7",0.853663282565295
"8",4.12534471287251
"9",2.42428047071721
"10",0.255311574934996
"11",0.78440359518782
"12",1.41842201054936
"13",0.612997226802962
"14",0.70885894190396
"15",2.15223140029188
"16",4.34337426451543
"17",4.23058104771587
"18",0.522260471380394
"19",4.47018176396673
"20",3.30332801881541
"21",1.5567996019568
"22",2.27404133669599
"23",2.71173837232012
"24",1.80329587178782
"25",4.7337871733601
"26",0.275136693584609
"27",2.41620694495574
"28",0.207325830023924
"29",0.291671733525194
"30",0.285805178623413
"31",0.828444566768013
"32",1.21453530207538
"33",0.547824790067849
"34",0.852511583830683
"35",1.62174628094811
"36",2.84112724055982
"37",1.66486065452567
